"Year","State","State ANSI","Class","Category","Metric","Remark","Domain","Domain Category","Chemical_Number","Value"
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","OXATHIAPIPROLIN","128111",11.3
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CYCLANILIPROLE","26202",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PERMETHRIN","109701",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB",NA,"OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",68.7
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",11.3
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYCLANILIPROLE","26202",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","PERMETHRIN","109701",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",68.7
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",11.3
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","CYCLANILIPROLE","26202",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","PERMETHRIN","109701",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",68.7
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",11.3
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","CYCLANILIPROLE","26202",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","PERMETHRIN","109701",5.2
2023,"CALIFORNIA","06",NA,"APPLICATIONS","MEASURED IN NUMBER","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",68.7
2023,"CALIFORNIA","06",NA,"TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",33.5
2023,"CALIFORNIA","06",NA,"TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","CYCLANILIPROLE","26202",15.3
2023,"CALIFORNIA","06",NA,"TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","PERMETHRIN","109701",15.3
