"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Class","Method","Marketing_channels","Utilizations","Category","Metric","Remark","Domain","Domain Category","Chemical_Number","Value","CV (%)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,3,15.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"ACRES NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,1,0.05
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,6,52.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011",NA,NA,NA,NA,"OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,5,47.6
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101",NA,NA,NA,NA,"ACRES BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101",NA,NA,NA,NA,"ACRES GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101",NA,NA,NA,NA,"OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,55.7
"CENSUS",2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL","NOT SPECIFIED",NA,2,52.7
