"Year","Period","Geo Level","State","State ANSI","Marketing_channels","Utilizations","Category","Metric","Remark","Value"
2024,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","ADJUSTED BASE",10.9
2024,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","ADJUSTED BASE",4
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,123
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,142
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,43.8
2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,121
2023,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,2477.6
2023,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,2477.6
2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,147
2023,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,76
2023,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,76
2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,142
2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,43.8
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES HARVESTED",NA,NA,56800
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES PLANTED",NA,NA,57300
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,3398943000
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,27560000
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN TONS",NA,1378000
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,485
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"YIELD","MEASURED IN TONS / ACRE",NA,24.3
2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","10 YEAR AVG FOR PARITY PURPOSES",120
2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","10 YEAR AVG",120
2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT","ADJUSTED BASE",10.8
2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3173579000
2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,22382200
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,33400
2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","10 YEAR AVG FOR PARITY PURPOSES",44.4
2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","10 YEAR AVG",44.4
2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / TON","ADJUSTED BASE",4
2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,225364000
2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5144400
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,27526600
2023,"YEAR","NATIONAL","US TOTAL",NA,NA,"UTILIZED","PRODUCTION","MEASURED IN TONS",NA,1376330
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES HARVESTED",NA,NA,42700
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"ACRES PLANTED",NA,NA,43100
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN $",NA,2965387000
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,24600000
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,575
2023,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,122966403.6
2023,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,122966403.6
2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,24600
2023,"YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,122966403.6
2023,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,122966403.6
2023,"YEAR","STATE","CALIFORNIA","06",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,24575400
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES HARVESTED",NA,NA,14100
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"ACRES PLANTED",NA,NA,14200
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN $",NA,433556000
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"PRODUCTION","MEASURED IN CWT",NA,2960000
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"YIELD","MEASURED IN CWT / ACRE",NA,210
2023,"YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3821658.2
2023,"YEAR","STATE","FLORIDA","12","FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,3821658.2
2023,"YEAR","STATE","FLORIDA","12",NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,8800
2023,"YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,3821658.2
2023,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,3821658.2
2023,"YEAR","STATE","FLORIDA","12",NA,"UTILIZED","PRODUCTION","MEASURED IN CWT",NA,2951200
2023,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRODUCTION","MEASURED IN $",NA,3173579000
2023,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,22382200
2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,"NOT SOLD PRODUCTION","MEASURED IN CWT",NA,0
2023,"YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRODUCTION","MEASURED IN $",NA,225364000
2023,"YEAR","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED","PRODUCTION","MEASURED IN CWT",NA,5144400
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,114
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,135
2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,27.1
2022,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,108
2022,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,692.7
2022,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,692.7
2022,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,169
2022,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,20.6
2022,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,20.6
2022,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,0
2022,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,135
2022,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,27.1
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES HARVESTED",NA,NA,56300
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"ACRES PLANTED",NA,NA,56400
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN $",NA,3259100000
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN CWT",NA,28520000
2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,"PRODUCTION","MEASURED IN TONS",NA,1426000
