"Year","Geo Level","State","State ANSI","Marketing_channels","Category","Metric","Value","CV (%)"
2021,"NATIONAL","US TOTAL",NA,NA,"ACRES HARVESTED",NA,5301,43.5
2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH AREA HARVESTED",NA,546,6.3
2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH SALES",NA,546,6.3
2021,"NATIONAL","US TOTAL",NA,NA,"PRODUCTION","MEASURED IN CWT",1495299,51.2
2021,"NATIONAL","US TOTAL",NA,NA,"SALES","MEASURED IN $",335964420,45.7
2021,"NATIONAL","US TOTAL",NA,NA,"SALES","MEASURED IN CWT",1494673,51.3
2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","OPERATIONS WITH SALES",NA,540,6.3
2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES","MEASURED IN $",1596143.5,52.27
2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES","MEASURED IN CWT",1483234,50.3
2021,"NATIONAL","US TOTAL",NA,"PROCESSING","OPERATIONS WITH SALES",NA,18,24.9
2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES","MEASURED IN $",1596143.5,52.27
2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES","MEASURED IN CWT",11440,99.95
2021,"STATE","ALASKA","02",NA,"ACRES HARVESTED",NA,2.4,118.33
2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH AREA HARVESTED",NA,2,99.95
2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","ALASKA","02",NA,"PRODUCTION","MEASURED IN CWT",117.5,118.29
2021,"STATE","ALASKA","02",NA,"SALES","MEASURED IN $",1493.6,120.3
2021,"STATE","ALASKA","02",NA,"SALES","MEASURED IN CWT",1493.6,120.3
2021,"STATE","ALASKA","02","FRESH MARKET","OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","ALASKA","02","FRESH MARKET","SALES","MEASURED IN $",1493.6,120.3
2021,"STATE","ALASKA","02","FRESH MARKET","SALES","MEASURED IN CWT",1493.6,120.3
2021,"STATE","CALIFORNIA","06",NA,"ACRES HARVESTED",NA,4228,45.7
2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH AREA HARVESTED",NA,142,19.2
2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH SALES",NA,142,19.2
2021,"STATE","CALIFORNIA","06",NA,"PRODUCTION","MEASURED IN CWT",1413251,51.6
2021,"STATE","CALIFORNIA","06",NA,"SALES","MEASURED IN $",311784980,46
2021,"STATE","CALIFORNIA","06",NA,"SALES","MEASURED IN CWT",1412627,51.7
2021,"STATE","CALIFORNIA","06","FRESH MARKET","OPERATIONS WITH SALES",NA,141,20.4
2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES","MEASURED IN $",995044.8,57.64
2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES","MEASURED IN CWT",1401384,50.6
2021,"STATE","CALIFORNIA","06","PROCESSING","OPERATIONS WITH SALES",NA,7,60
2021,"STATE","CALIFORNIA","06","PROCESSING","SALES","MEASURED IN $",995044.8,57.64
2021,"STATE","CALIFORNIA","06","PROCESSING","SALES","MEASURED IN CWT",11244,99.95
2021,"STATE","CONNECTICUT","09",NA,"ACRES HARVESTED",NA,3,99.95
2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH AREA HARVESTED",NA,8,74.4
2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH SALES",NA,8,74.4
2021,"STATE","CONNECTICUT","09",NA,"PRODUCTION","MEASURED IN CWT",183,99.95
2021,"STATE","CONNECTICUT","09",NA,"SALES","MEASURED IN $",40890,99.95
2021,"STATE","CONNECTICUT","09",NA,"SALES","MEASURED IN CWT",183,99.95
2021,"STATE","CONNECTICUT","09","FRESH MARKET","OPERATIONS WITH SALES",NA,8,74.4
2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES","MEASURED IN $",40890,99.95
2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES","MEASURED IN CWT",183,99.95
2021,"STATE","FLORIDA","12",NA,"ACRES HARVESTED",NA,704,99.8
2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH AREA HARVESTED",NA,10,57.3
2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH SALES",NA,10,57.3
2021,"STATE","FLORIDA","12",NA,"PRODUCTION","MEASURED IN CWT",67146,99.95
2021,"STATE","FLORIDA","12",NA,"SALES","MEASURED IN $",18358396,99.95
2021,"STATE","FLORIDA","12",NA,"SALES","MEASURED IN CWT",67146,99.95
2021,"STATE","FLORIDA","12","FRESH MARKET","OPERATIONS WITH SALES",NA,10,57.3
2021,"STATE","FLORIDA","12","FRESH MARKET","SALES","MEASURED IN $",18358396,99.95
2021,"STATE","FLORIDA","12","FRESH MARKET","SALES","MEASURED IN CWT",67146,99.95
2021,"STATE","GEORGIA","13",NA,"ACRES HARVESTED",NA,1,92.4
2021,"STATE","GEORGIA","13",NA,"OPERATIONS WITH AREA HARVESTED",NA,4,80.4
2021,"STATE","GEORGIA","13",NA,"OPERATIONS WITH SALES",NA,4,80.4
2021,"STATE","GEORGIA","13",NA,"PRODUCTION","MEASURED IN CWT",19,78
2021,"STATE","GEORGIA","13",NA,"SALES","MEASURED IN $",11600,77.8
2021,"STATE","GEORGIA","13",NA,"SALES","MEASURED IN CWT",19,78
2021,"STATE","GEORGIA","13","FRESH MARKET","OPERATIONS WITH SALES",NA,4,80.4
2021,"STATE","GEORGIA","13","FRESH MARKET","SALES","MEASURED IN $",11600,77.8
2021,"STATE","GEORGIA","13","FRESH MARKET","SALES","MEASURED IN CWT",19,78
2021,"STATE","IDAHO","16",NA,"ACRES HARVESTED",NA,7,87.5
2021,"STATE","IDAHO","16",NA,"OPERATIONS WITH AREA HARVESTED",NA,6,53.2
2021,"STATE","IDAHO","16",NA,"OPERATIONS WITH SALES",NA,6,53.2
2021,"STATE","IDAHO","16",NA,"PRODUCTION","MEASURED IN CWT",111,71.4
2021,"STATE","IDAHO","16",NA,"SALES","MEASURED IN $",31680,74.1
2021,"STATE","IDAHO","16",NA,"SALES","MEASURED IN CWT",111,71.4
2021,"STATE","IDAHO","16","FRESH MARKET","OPERATIONS WITH SALES",NA,6,53.2
2021,"STATE","IDAHO","16","FRESH MARKET","SALES","MEASURED IN $",31680,74.1
2021,"STATE","IDAHO","16","FRESH MARKET","SALES","MEASURED IN CWT",111,71.4
2021,"STATE","ILLINOIS","17",NA,"ACRES HARVESTED",NA,1,95.4
2021,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH AREA HARVESTED",NA,5,95.4
2021,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH SALES",NA,5,95.4
2021,"STATE","ILLINOIS","17",NA,"PRODUCTION","MEASURED IN CWT",53,94.9
2021,"STATE","ILLINOIS","17",NA,"SALES","MEASURED IN $",16000,95
2021,"STATE","ILLINOIS","17",NA,"SALES","MEASURED IN CWT",53,94.9
2021,"STATE","ILLINOIS","17","FRESH MARKET","OPERATIONS WITH SALES",NA,5,95.4
2021,"STATE","ILLINOIS","17","FRESH MARKET","SALES","MEASURED IN $",16000,95
2021,"STATE","ILLINOIS","17","FRESH MARKET","SALES","MEASURED IN CWT",53,94.9
2021,"STATE","INDIANA","18",NA,"ACRES HARVESTED",NA,5.7,85.19
2021,"STATE","INDIANA","18",NA,"OPERATIONS WITH AREA HARVESTED",NA,2,99.95
2021,"STATE","INDIANA","18",NA,"OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","INDIANA","18",NA,"PRODUCTION","MEASURED IN CWT",277.6,85.15
2021,"STATE","INDIANA","18",NA,"SALES","MEASURED IN $",3530.1,87.17
2021,"STATE","INDIANA","18",NA,"SALES","MEASURED IN CWT",3530.1,87.17
2021,"STATE","INDIANA","18","FRESH MARKET","OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","INDIANA","18","FRESH MARKET","SALES","MEASURED IN $",3530.1,87.17
2021,"STATE","INDIANA","18","FRESH MARKET","SALES","MEASURED IN CWT",3530.1,87.17
2021,"STATE","IOWA","19",NA,"ACRES HARVESTED",NA,2.4,91.41
2021,"STATE","IOWA","19",NA,"OPERATIONS WITH AREA HARVESTED",NA,6,97.5
2021,"STATE","IOWA","19",NA,"OPERATIONS WITH SALES",NA,6,97.5
2021,"STATE","IOWA","19",NA,"PRODUCTION","MEASURED IN CWT",74,96.4
2021,"STATE","IOWA","19",NA,"SALES","MEASURED IN $",1502.3,93.38
2021,"STATE","IOWA","19",NA,"SALES","MEASURED IN CWT",74,96.4
2021,"STATE","IOWA","19","FRESH MARKET","OPERATIONS WITH SALES",NA,6,97.5
2021,"STATE","IOWA","19","FRESH MARKET","SALES","MEASURED IN $",1502.3,93.38
2021,"STATE","IOWA","19","FRESH MARKET","SALES","MEASURED IN CWT",74,96.4
2021,"STATE","KENTUCKY","21",NA,"ACRES HARVESTED",NA,5,76
2021,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH AREA HARVESTED",NA,12,69.1
2021,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH SALES",NA,12,69.1
2021,"STATE","KENTUCKY","21",NA,"PRODUCTION","MEASURED IN CWT",62,72
2021,"STATE","KENTUCKY","21",NA,"SALES","MEASURED IN $",30828,72
2021,"STATE","KENTUCKY","21",NA,"SALES","MEASURED IN CWT",62,72
2021,"STATE","KENTUCKY","21","FRESH MARKET","OPERATIONS WITH SALES",NA,12,69.1
2021,"STATE","KENTUCKY","21","FRESH MARKET","SALES","MEASURED IN $",30828,72
2021,"STATE","KENTUCKY","21","FRESH MARKET","SALES","MEASURED IN CWT",62,72
2021,"STATE","LOUISIANA","22",NA,"ACRES HARVESTED",NA,1.7,94.47
2021,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH AREA HARVESTED",NA,2,99.95
2021,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","LOUISIANA","22",NA,"PRODUCTION","MEASURED IN CWT",81,94.43
2021,"STATE","LOUISIANA","22",NA,"SALES","MEASURED IN $",1029.4,96.45
2021,"STATE","LOUISIANA","22",NA,"SALES","MEASURED IN CWT",1029.4,96.45
2021,"STATE","LOUISIANA","22","FRESH MARKET","OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","LOUISIANA","22","FRESH MARKET","SALES","MEASURED IN $",1029.4,96.45
2021,"STATE","LOUISIANA","22","FRESH MARKET","SALES","MEASURED IN CWT",1029.4,96.45
2021,"STATE","MAINE","23",NA,"ACRES HARVESTED",NA,11,62.4
2021,"STATE","MAINE","23",NA,"OPERATIONS WITH AREA HARVESTED",NA,16,38.4
2021,"STATE","MAINE","23",NA,"OPERATIONS WITH SALES",NA,16,38.4
2021,"STATE","MAINE","23",NA,"PRODUCTION","MEASURED IN CWT",504,99.95
2021,"STATE","MAINE","23",NA,"SALES","MEASURED IN $",174980,99.95
2021,"STATE","MAINE","23",NA,"SALES","MEASURED IN CWT",504,99.95
2021,"STATE","MAINE","23","FRESH MARKET","OPERATIONS WITH SALES",NA,16,38.4
2021,"STATE","MAINE","23","FRESH MARKET","SALES","MEASURED IN $",174980,99.95
2021,"STATE","MAINE","23","FRESH MARKET","SALES","MEASURED IN CWT",504,99.95
2021,"STATE","MARYLAND","24",NA,"ACRES HARVESTED",NA,3,31.6
2021,"STATE","MARYLAND","24",NA,"OPERATIONS WITH AREA HARVESTED",NA,17,31.1
2021,"STATE","MARYLAND","24",NA,"OPERATIONS WITH SALES",NA,17,31.1
2021,"STATE","MARYLAND","24",NA,"PRODUCTION","MEASURED IN CWT",127,35.4
2021,"STATE","MARYLAND","24",NA,"SALES","MEASURED IN $",53810,42.8
2021,"STATE","MARYLAND","24",NA,"SALES","MEASURED IN CWT",127,35.4
2021,"STATE","MARYLAND","24","FRESH MARKET","OPERATIONS WITH SALES",NA,17,31.1
2021,"STATE","MARYLAND","24","FRESH MARKET","SALES","MEASURED IN $",3872,60.47
2021,"STATE","MARYLAND","24","FRESH MARKET","SALES","MEASURED IN CWT",3872,60.47
2021,"STATE","MARYLAND","24","PROCESSING","OPERATIONS WITH SALES",NA,2,99.95
2021,"STATE","MARYLAND","24","PROCESSING","SALES","MEASURED IN $",3872,60.47
2021,"STATE","MARYLAND","24","PROCESSING","SALES","MEASURED IN CWT",3872,60.47
2021,"STATE","MASSACHUSETTS","25",NA,"ACRES HARVESTED",NA,9,89.6
2021,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH AREA HARVESTED",NA,12,79.2
2021,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH SALES",NA,12,79.2
2021,"STATE","MASSACHUSETTS","25",NA,"PRODUCTION","MEASURED IN CWT",251,76.5
2021,"STATE","MASSACHUSETTS","25",NA,"SALES","MEASURED IN $",94827,80.1
2021,"STATE","MASSACHUSETTS","25",NA,"SALES","MEASURED IN CWT",251,76.5
2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","OPERATIONS WITH SALES",NA,12,79.2
2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES","MEASURED IN $",94827,80.1
2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES","MEASURED IN CWT",251,76.5
2021,"STATE","MICHIGAN","26",NA,"ACRES HARVESTED",NA,15,47.2
2021,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH AREA HARVESTED",NA,26,32.5
2021,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH SALES",NA,26,32.5
2021,"STATE","MICHIGAN","26",NA,"PRODUCTION","MEASURED IN CWT",564,43.9
2021,"STATE","MICHIGAN","26",NA,"SALES","MEASURED IN $",174011,44.1
2021,"STATE","MICHIGAN","26",NA,"SALES","MEASURED IN CWT",564,43.9
2021,"STATE","MICHIGAN","26","FRESH MARKET","OPERATIONS WITH SALES",NA,26,32.5
2021,"STATE","MICHIGAN","26","FRESH MARKET","SALES","MEASURED IN $",174011,44.1
2021,"STATE","MICHIGAN","26","FRESH MARKET","SALES","MEASURED IN CWT",564,43.9
